1920,"A second organizational meeting was held in Canton, September 17. The teams were from four states-Akron, Canton, Cleveland, and Dayton from Ohio; the Hammond Pros and Muncie Flyers from Indiana; the Rochester Jeffersons from New York; and the Rock Island Independents, Decatur Staleys, and Racine Cardinals from Illinois. The name of the league was changed to the American Professional Football Association. Hoping to capitalize on his fame, the members elected Thorpe president; Stanley Cofall of Cleveland was elected vice president. A membership fee of $100 per team was charged to give an appearance of respectability, but no team ever paid it. Scheduling was left up to the teams, and there were wide variations, both in the overall number of games played and in the number played against APFA member teams.",
1920,"Four other teams-the Buffalo All-Americans, Chicago Tigers, Columbus Panhandles, and Detroit Heralds-joined the league sometime during the year. On September 26, the first game featuring an APFA team was played at Rock Island's Douglas Park. A crowd of 800 watched the Independents defeat the St. Paul Ideals 48-0. A week later, October 3, the first game matching two APFA teams was held. At Triangle Park, Dayton defeated Columbus 14-0, with Lou Partlow of Dayton scoring the first touchdown in a game between Association teams. The same day, Rock Island defeated Muncie 45-0.",
1920,"By the beginning of December, most of the teams in the APFA had abandoned their hopes for a championship, and some of them, including the Chicago Tigers and the Detroit Heralds, had finished their seasons, disbanded, and had their franchises canceled by the Association. Four teams-Akron, Buffalo, Canton, and Decatur-still had championship as-pirations, but a series of late-season games among them left Akron as the only undefeated team in the Association. At one of these games, Akron sold tackle Bob Nash to Buffalo for $300 and five percent of the gate receipts-the first APFA player deal.",
1921,"At the league meeting in Akron, April 30, the championship of the 1920 season was awarded to the Akron Pros. The APFA was reorganized, with Joe Carr of the Columbus Panhandles named president and Carl Storck of Dayton secretary-treasurer. Carr moved the Association's headquarters to Columbus, drafted a league constitution and by-laws, gave teams territorial rights, restricted player movements, developed membership criteria for the franchises, and issued standings for the first time, so that the APFA would have a clear champion.",
1921,"The Association's membership increased to 22 teams, including the Green Bay Packers, who were awarded to John Clair of the Acme Packing Company.",
1921,"Thorpe moved from Canton to the Cleveland Indians, but he was hurt early in the season and played very little.",
1921,"A.E. Staley turned the Decatur Staleys over to player-coach George Halas, who moved the team to Cubs Park in Chicago. Staley paid Halas $5,000 to keep the name Staleys for one more year. Halas made halfback Ed (Dutch) Sternaman his partner.",
1921,Player-coach Fritz Pollard of the Akron Pros became the first black head coach.,
1921,"The Staleys claimed the APFA championship with a 9-1-1 record, as did Buffalo at 9-1-2. Carr ruled in favor of the Staleys, giving Halas his first championship.",
1922,"After admitting the use of players who had college eligibility remaining during the 1921 season, Clair and the Green Bay management withdrew from the APFA, January 28. Curly Lambeau promised to obey league rules and then used $50 of his own money to buy back the franchise. Bad weather and low attendance plagued the Packers, and Lambeau went broke, but local merchants arranged a $2,500 loan for the club. A public nonprofit corporation was set up to operate the team, with Lambeau as head coach and manager.",
1922,"The American Professional Football Association changed its name to the National Football League, June 24. The Chicago Staleys became the Chicago Bears.",
1922,"The NFL fielded 18 teams, including the new Oorang Indians of Marion, Ohio, an all-Indian team featuring Thorpe, Joe Guyon, and Pete Calac, and sponsored by the Oorang dog kennels.",
1922,"Canton, led by player-coach Guy Chamberlin and tackles Link Lyman and Wilbur (Pete) Henry, emerged as the league's first true powerhouse, going 10-0-2.",
1923,"For the first time, all of the franchises considered to be part of the NFL fielded teams. Thorpe played his second and final season for the Oorang Indians. Against the Bears, Thorpe fumbled, and Halas picked up the ball and returned it 98 yards for a touchdown, a record that would last until 1972.",
1923,"Canton had its second consecutive undefeated season, going 11-0-1 for the NFL title.",
1924,"The league had 18 franchises, including new ones in Kansas City, Kenosha, and Frankford, a section of Philadelphia. League champion Canton, successful on the field but not at the box office, was purchased by the owner of the Cleveland franchise, who kept the Canton franchise inactive, while using the best players for his Cleveland team, which he renamed the Bulldogs. Cleveland won the title with a 7-1-1 record.",
1925,"Five new franchises were admitted to the NFL-the New York Giants, who were awarded to Tim Mara and Billy Gibson for $500; the Detroit Panthers, featuring Jimmy Conzelman as owner, coach, and tailback; the Providence Steam Roller; a new Canton Bulldogs team; and the Pottsville Maroons, who had been perhaps the most successful independent pro team. The NFL established its first player limit, at 16 players.",
1925,"Late in the season, the NFL made its greatest coup in gaining national recognition. Shortly after the University of Illinois season ended in November, All-America halfback Harold (Red) Grange signed a contract to play with the Chicago Bears. On Thanksgiving Day, a crowd of 36,000-the largest in pro football history-watched Grange and the Bears play the Chicago Cardinals to a scoreless tie at Wrigley Field. At the beginning of December, the Bears left on a barnstorming tour that saw them play eight games in 12 days, in St. Louis, Philadelphia, New York City, Washington, Boston, Pittsburgh, Detroit, and Chicago. A crowd of 73,000 watched the game against the Giants at the Polo Grounds, helping assure the future of the troubled NFL franchise in New York. The Bears then played nine more games in the South and West, including a game in Los Angeles, in which 75,000 fans watched them defeat the Los Angeles Tigers in the Los Angeles Memorial Coliseum.",
1925,"Pottsville and the Chicago Cardinals were the top contenders for the league title, with Pottsville winning a late-season meeting 21-7. Pottsville scheduled a game against a team of former Notre Dame players for Shibe Park in Philadelphia. Frankford lodged a protest not only because the game was in Frankford's protected territory, but because it was being played the same day as a Yellow Jackets home game. Carr gave three different notices forbidding Pottsville to play the game, but Pottsville played anyway, December 12. That day, Carr fined the club, suspended it from all rights and privileges (including the right to play for the NFL championship), and re-turned its franchise to the league. The Cardinals, who ended the season with the best record in the league, were named the 1925 champions.",
1926,"Grange's manager, C.C. Pyle, told the Bears that Grange wouldn't play for them unless he was paid a five-figure salary and given one-third ownership of the team. The Bears refused. Pyle leased Yankee Stadium in New York City, then petitioned for an NFL franchise. After he was refused, he started the first American Football League. It lasted one season and included Grange's New York Yankees and eight other teams. The AFL champion Philadelphia Quakers played a December game against the New York Giants, seventh in the NFL, and the Giants won 31-0. At the end of the season, the AFL folded.",
1926,Halas pushed through a rule that prohibited any team from signing a player whose college class had not graduated.,
1926,"The NFL grew to 22 teams, including the Duluth Eskimos, who signed All-America fullback Ernie Nevers of Stanford, giving the league a gate attraction to rival Grange. The 15-member Eskimos, dubbed the Iron Men of the North, played 29 exhibition and league games, 28 on the road, and Nevers played in all but 29 minutes of them.",
1926,"Frankford edged the Bears for the championship, despite Halas having obtained John (Paddy) Driscoll from the Cardinals. On December 4, the Yellow Jackets scored in the final two minutes to defeat the Bears 7-6 and move ahead of them in the standings.",
1927,"At a special meeting in Cleveland, April 23, Carr decided to secure the NFL's future by eliminating the financially weaker teams and consolidating the quality players onto a limited number of more successful teams. The new-look NFL dropped to 12 teams, and the center of gravity of the league left the Midwest, where the NFL had started, and began to emerge in the large cities of the East. One of the new teams was Grange's New York Yankees, but Grange suffered a knee injury and the Yankees finished in the middle of the pack. The NFL championship was won by the cross-town rival New York Giants, who posted 10 shutouts in 13 games.",
1928,"Grange and Nevers both retired from pro football, and Duluth disbanded, as the NFL was reduced to only 10 teams. The Providence Steam Roller of Jimmy Conzelman and Pearce Johnson won the championship, playing in the Cycledrome, a 10,000-seat oval that had been built for bicycle races.",
1929,"Chris O'Brien sold the Chicago Cardinals to David Jones, July 27. The NFL added a fourth official, the field judge, July 28. Grange and Nevers returned to the NFL. Nevers scored six rushing touchdowns and four extra points as the Cardinals beat Grange's Bears 40-6, November 28. The 40 points set a record that remains the NFL's oldest.",
1929,"Providence became the first NFL team to host a game at night under floodlights, against the Cardinals, November 3.",
1929,"The Packers added back Johnny Blood (McNally), tackle Cal Hubbard, and guard Mike Michalske, and won their first NFL championship, edging the Giants, who featured quarterback Benny Friedman.",
1930,"Dayton, the last of the NFL's original franchises, was purchased by William B. Dwyer and John C. Depler, moved to Brooklyn, and renamed the Dodgers. The Portsmouth, Ohio, Spartans entered the league. The Packers edged the Giants for the title, but the most improved team was the Bears. Halas retired as a player and replaced himself as coach of the Bears with Ralph Jones, who refined the T-formation by introducing wide ends and a halfback in motion. Jones also introduced rookie All-America fullback-tackle Bronko Nagurski.",
1930,"The Giants defeated a team of former Notre Dame players coached by Knute Rockne 22-0 before 55,000 at the Polo Grounds, December 14. The proceeds went to the New York Unemployment Fund to help those suffering because of the Great Depression, and the easy victory helped give the NFL credibility with the press and the public.",
1931,"The NFL decreased to 10 teams, and halfway through the season the Frankford franchise folded. Carr fined the Bears, Packers, and Portsmouth $1,000 each for using players whose college classes had not graduated. The Packers won an unprecedented third consecutive title, beating out the Spartans, who were led by rookie backs Earl (Dutch) Clark and Glenn Presnell.",
1932,"George Preston Marshall, Vincent Bendix, Jay O'Brien, and M. Dorland Doyle were awarded a franchise for Boston, July 9. Despite the presence of two rookies-halfback Cliff Battles and tackle Glen (Turk) Edwards-the new team, named the Braves, lost money and Marshall was left as the sole owner at the end of the year. NFL membership dropped to eight teams, the lowest in history. Official statistics were kept for the first time. The Bears and the Spartans finished the season in the first-ever tie for first place. After the season finale, the league office arranged for an additional regular-season game to determine the league champion. The game was moved indoors to Chicago Stadium because of bitter cold and heavy snow. The arena allowed only an 80-yard field that came right to the walls. The goal posts were moved from the end lines to the goal lines and, for safety, inbounds lines or hashmarks where the ball would be put in play were drawn 10 yards from the walls that butted against the sidelines. The Bears won 9-0, December 18, scoring the winning touchdown on a two-yard pass from Nagurski to Grange. The Spartans claimed Nagurski's pass was thrown from less than five yards behind the line of scrimmage, violating the existing passing rule, but the play stood.",
1933,"The NFL, which long had followed the rules of college football, made a number of significant changes from the college game for the first time and began to develop rules serving its needs and the style of play it preferred. The innovations from the 1932 championship game-inbounds line or hashmarks and goal posts on the goal lines-were adopted. Also the forward pass was legalized from anywhere behind the line of scrimmage, February 25. Marshall and Halas pushed through a proposal that divided the NFL into two divisions, with the winners to meet in an annual championship game, July 8.",
1933,"Three new franchises joined the league-the Pittsburgh Pirates of Art Rooney, the Philadelphia Eagles of Bert Bell and Lud Wray, and the Cincinnati Reds. The Staten Island Stapletons suspended operations for a year, but never returned to the league.",
1933,"Halas bought out Sternaman, became sole owner of the Bears, and reinstated himself as head coach. Marshall changed the name of the Boston Braves to the Redskins. David Jones sold the Chicago Cardinals to Charles W. Bidwill.",
1933,"In the first NFL Championship Game scheduled before the season, the Western Division champion Bears defeated the Eastern Division champion Giants 23-21 at Wrigley Field, December 17.",
1934,"G.A. (Dick) Richards purchased the Portsmouth Spartans, moved them to Detroit, and renamed them the Lions. Professional football gained new prestige when the Bears were matched against the best college football players in the first Chicago College All-Star Game, August 31. The game ended in a scoreless tie before 79,432 at Soldier Field.",
1934,"The Cincinnati Reds lost their first eight games, then were suspended from the league for defaulting on payments. The St. Louis Gunners, an independent team, joined the NFL by buying the Cincinnati franchise and went 1-2 the last three weeks.",
1934,"Rookie Beattie Feathers of the Bears became the NFL's first 1,000-yard rusher, gaining 1,004 on 101 carries. The Thanksgiving Day game between the Bears and the Lions became the first NFL game broadcast nationally, with Graham McNamee the announcer for NBC radio.",
1934,"In the championship game, on an extremely cold and icy day at the Polo Grounds, the Giants trailed the Bears 13-3 in the third quarter before changing to basketball shoes for better footing. The Giants won 30-13 in what has come to be known as the Sneakers Game, December 9. The player waiver rule was adopted, December 10.",
1935,"The NFL adopted Bert Bell's proposal to hold an annual draft of college players, to begin in 1936, with teams selecting in an inverse order of finish, May 19. The inbounds line or hashmarks were moved nearer the center of the field, 15 yards from the sidelines.",
1935,"All-America end Don Hutson of Alabama joined Green Bay. The Lions defeated the Giants 26-7 in the NFL Championship Game, December 15.",
1936,There were no franchise transactions for the first year since the formation of the NFL. It also was the first year in which all member teams played the same number of games.,
1936,"The Eagles made University of Chicago halfback and Heisman Trophy winner Jay Berwanger the first player ever selected in the NFL draft, February 8. The Eagles traded his rights to the Bears, but Berwanger never played pro football. The first player selected to actually sign was the number-two pick, Riley Smith of Alabama, who was selected by Boston.",
1936,"A rival league was formed, and it became the second to call itself the American Football League. The Boston Shamrocks were its champions.",
1936,"Because of poor attendance, Marshall, the owner of the host team, moved the Championship Game from Boston to the Polo Grounds in New York. Green Bay defeated the Redskins 21-6, December 13.",
1937,"Homer Marshman was granted a Cleveland franchise, named the Rams, February 12. Marshall moved the Redskins to Washington, D.C., February 13. The Redskins signed TCU All-America tailback Sammy Baugh, who led them to a 28-21 victory over the Bears in the NFL Championship Game, December 12. The Los Angeles Bulldogs had an 8-0 record to win the AFL title, but then the 2-year-old league folded.",
1938,"At the suggestion of Halas, Hugh (Shorty) Ray became a technical advisor on rules and officiating to the NFL. A new rule called for a 15-yard penalty for roughing the passer. Rookie Byron (Whizzer) White of the Pittsburgh Pirates led the NFL in rushing. The Giants defeated the Packers 23-17 for the NFL title, December 11. Marshall, Los Angeles Times sports editor Bill Henry, and promoter Tom Gallery established the Pro Bowl game between the NFL champion and a team of pro all-stars.",
1939,"The New York Giants defeated the Pro All-Stars 13-10 in the first Pro Bowl, at Wrigley Field, Los Angeles, January 15.",
1939,"Carr, NFL president since 1921, died in Columbus, May 20. Carl Storck was named acting president, May 25.",
1939,"An NFL game was televised for the first time when NBC broadcast the Brooklyn Dodgers-Philadelphia Eagles game from Ebbets Field to the approximately 1,000 sets then in New York.",
1939,"Green Bay defeated New York 27-0 in the NFL Championship Game, December 10 at Milwaukee. NFL attendance exceeded 1 million in a season for the first time, reaching 1,071,200.",
1940,"A six-team rival league, the third to call itself the American Football League, was formed, and the Columbus Bullies won its championship.",
1940,"Halas's Bears, with additional coaching by Clark Shaughnessy of Stanford, defeated the Redskins 73-0 in the NFL Championship Game, December 8. The game, which was the most decisive victory in NFL history, popularized the Bears'",
1940,"T-formation with a man-in-motion. It was the first championship carried on network radio, broadcast by Red Barber to 120 stations of the Mutual Broadcasting System, which paid $2,500 for the rights.",
1940,"Art Rooney sold the Pittsburgh franchise to Alexis Thompson, December 9, then bought part interest in the Philadelphia Eagles.",
1941,"Elmer Layden was named the first Commissioner of the NFL, March 1; Storck, the acting president, resigned, April 5. NFL headquarters were moved to Chicago.",
1941,"Bell and Rooney traded the Eagles to Thompson for the Pirates, then re-named their new team the Steelers. Homer Marshman sold the Rams to Daniel F. Reeves and Fred Levy, Jr.",
1941,"The league by-laws were revised to provide for playoffs in case there were ties in division races, and sudden-death overtimes in case a playoff game was tied after four quarters. An official NFL Record Manual was published for the first time.",
1941,"Columbus again won the championship of the AFL, but the two-year-old league then folded.",
1941,"The Bears and the Packers finished in a tie for the Western Division championship, setting up the first divisional playoff game in league history. The Bears won 33-14, then defeated the Giants 37-9 for the NFL championship, December 21.",
1942,"Players departing for service in World War II depleted the rosters of NFL teams. Halas left the Bears in midseason to join the Navy, and Luke Johnsos and Heartley (Hunk) Anderson served as co-coaches as the Bears went 11-0 in the regular season. The Redskins defeated the Bears 14-6 in the NFL Championship Game, December 13.",
1943,"The Cleveland Rams, with co-owners Reeves and Levy in the service, were granted permission to suspend operations for one season, April 6. Levy transferred his stock in the team to Reeves, April 16. The NFL adopted free substitution, April 7. The league also made the wearing of helmets mandatory and approved a 10-game schedule for all teams.",
1943,"Philadelphia and Pittsburgh were granted permission to merge for one season, June 19. The team, known as Phil-Pitt (and called the Steagles by fans), divided home games between the two cities, and Earle (Greasy) Neale of Philadelphia and Walt Kiesling of Pittsburgh served as co-coaches. The merger automatically dissolved the last day of the season, December 5.",
1943,"Ted Collins was granted a franchise for Boston, to become active in 1944.",
1943,"Sammy Baugh led the league in passing, punting, and interceptions. He led the Redskins to a tie with the Giants for the Eastern Division title, and then to a 28-0 victory in a divisional playoff game. The Bears beat the Redskins 41-21 in the NFL Championship Game, December 26.",
1944,"Collins, who had wanted a franchise in Yankee Stadium in New York, named his new team in Boston the Yanks. Cleveland resumed operations. The Brooklyn Dodgers changed their name to the Tigers. Coaching from the bench was legalized, April 20.",
1944,"The Cardinals and the Steelers were granted permission to merge for one year under the name Card-Pitt, April 21. Phil Handler of the Cardinals and Walt Kiesling of the Steelers served as co-coaches. The merger automatically dissolved the last day of the season, December 3. In the NFL Championship Game, Green Bay defeated the New York Giants 14-7, December 17.",
1945,The inbounds lines or hashmarks were moved from 15 yards away from the sidelines to nearer the center of the field-20 yards from the sidelines.,
1945,"Brooklyn and Boston merged into a team that played home games in both cities and was known simply as The Yanks. The team was coached by former Boston head coach Herb Kopf. In December, the Brooklyn franchise withdrew from the NFL to join the new All-America Football Conference; all the players on its active and reserve lists were assigned to The Yanks, who once again became the Boston Yanks. Halas rejoined the Bears late in the season after service with the U.S. Navy. Although Halas took over much of the coaching duties, Anderson and Johnsos remained the coaches of record throughout the season.",
1945,"Steve Van Buren of Philadelphia led the NFL in rushing, kickoff returns, and scoring.",
1945,"After the Japanese surrendered ending World War II, a count showed that the NFL service roster, limited to men who had played in league games, totaled 638, 21 of whom had died in action.",
1945,"Rookie quarterback Bob Waterfield led Cleveland to a 15-14 victory over Washington in the NFL Championship Game, December 16.",
1946,"The contract of Commissioner Layden was not renewed, and Bert Bell, the co-owner of the Steelers, replaced him, January 11. Bell moved the league headquarters from Chicago to the Philadelphia suburb of Bala- Cynwyd.",
1946,"Free substitution was withdrawn and substitutions were limited to no more than three men at a time. Forward passes were made automatically incomplete upon striking the goal posts, January 11. The NFL took on a truly national appearance for the first time when Reeves was granted permission by the league to move his NFL champion Rams to Los Angeles.",
1946,Halfback Kenny Washington (March 21) and end Woody Strode (May 7) signed with the Los Angeles Rams to become the first African-Americans to play in the NFL in the modern era. Guard Bill Willis (August 6) and running back Marion Motley (August 9) joined the AAFC with the Cleveland Browns.,
1946,"The rival All-America Football Conference began play with eight teams. The Cleveland Browns, coached by Paul Brown, won the AAFC's first championship, defeating the New York Yankees 14-9.",
1946,"Bill Dudley of the Steelers led the NFL in rushing, interceptions, and punt returns, and won the league's most valuable player award. Backs Frank Filchock and Merle Hapes of the Giants were questioned about an attempt by a New York man to fix the championship game with the Bears. Bell suspended Hapes but allowed Filchock to play; he played well, but Chicago won 24-14, December 15.",
1947,"The NFL added a fifth official, the back judge.",
1947,"A bonus choice was made for the first time in the NFL draft. One team each year would select the special choice before the first round began. The Chicago Bears won a lottery and the rights to the first choice and drafted back Bob Fenimore of Oklahoma A&M. The Cleveland Browns again won the AAFC title, defeating the New York Yankees 14-3.",
1947,"Charles Bidwill, Sr., owner of the Cardinals, died April 19, but his wife and sons retained ownership of the team. On December 28, the Cardinals won the NFL Championship Game 28-21 over the Philadelphia Eagles, who had beaten Pittsburgh 21-0 in a playoff.",
1948,"Plastic helmets were prohibited. A flexible artificial tee was permitted at the kickoff. Officials other than the referee were equipped with whistles, not horns, January 14.",
1948,"Fred Mandel sold the Detroit Lions to a syndicate headed by D. Lyle Fife, January 15.",
1948,"Halfback Fred Gehrke of the Los Angeles Rams painted horns on the Rams' helmets, the first modern helmet emblems in pro football. The Cleveland Browns won their third straight championship in the AAFC, going 14-0 and then defeating the Buffalo Bills 49-7. In a blizzard, the Eagles defeated the Cardinals 7-0 in the NFL Championship Game, December 19.",
1949,"Alexis Thompson sold the champion Eagles to a syndicate headed by James P. Clark, January 15. The Boston Yanks became the New York Bulldogs, sharing the Polo Grounds with the Giants.",
1949,"Free substitution was adopted for one year, January 20.",
1949,"The NFL had two 1,000-yard rushers in the same season for the first time-Steve Van Buren of Philadelphia and Tony Canadeo of Green Bay. The AAFC played its season with a one-division, seven-team format. On December 9, Bell announced a mer-ger agreement in which three AAFC franchises-Cleveland, San Francisco, and Baltimore-would join the NFL in 1950. The Browns won their fourth consecutive AAFC title, defeating the 49ers 21-7, December 11.",
1949,"In a heavy rain, the Eagles defeated the Rams 14-0 in the NFL Championship Game, December 18.",
1950,"Unlimited free substitution was restored, opening the way for the era of two platoons and specialization in pro football, January 20. Curly Lambeau, founder of the franchise and Green Bay's head coach since 1921, resigned under fire, February 1.",
1950,"The name National Football League was restored after about three months as the National-American Football League. The American and National conferences were created to replace the Eastern and Western divisions, March 3.",
1950,"The New York Bulldogs became the Yanks and divided the players of the former AAFC Yankees with the Giants. A special allocation draft was held in which the 13 teams drafted the remaining AAFC players, with special consideration for Baltimore, which received 15 choices compared to 10 for other teams.",
1950,The Los Angeles Rams became the first NFL team to have all of its games - both home and away - televised. The Washington Redskins followed the Rams in arranging to televise their games; other teams made deals to put selected games on television.,
1950,"In the first game of the season, former AAFC champion Cleveland defeated NFL champion Philadelphia 35-10. For the first time, deadlocks occurred in both conferences and playoffs were necessary. The Browns defeated the Giants in the American and the Rams defeated the Bears in the National. Cleveland defeated Los Angeles 30-28 in the NFL Championship Game, December 24.",
1951,"The Pro Bowl game, dormant since 1942, was revived under a new format matching the all-stars of each conference at the Los Angeles Memorial Coliseum. The American Conference defeated the National Conference 28-27, January 14.",
1951,"Abraham Watner returned the Baltimore franchise and its player contracts back to the NFL for $50,000. Baltimore's former players were made available for drafting at the same time as college players, January 18.",
1951,"A rule was passed that no tackle, guard, or center would be eligible to catch a forward pass, January 18.",
1951,The Rams reversed their television policy and televised only road games.,
1951,"The NFL Championship Game was televised coast-to-coast for the first time, December 23. The DuMont Network paid $75,000 for the rights to the game, in which the Rams defeated the Browns 24-17.",
1952,"Ted Collins sold the New York Yanks' franchise back to the NFL, January 19. A new franchise was awarded to a group in Dallas after it purchased the assets of the Yanks, January 24. The new Texans went 1-11, with the owners turning the franchise back to the league in midseason. For the last five games of the season, the commissioner's office operated the Texans as a road team, using Hershey, Pennsylvania, as a home base. At the end of the season the franchise was canceled, the last time an NFL team failed.",
1952,"The Pittsburgh Steelers abandoned the Single-Wing for the T-formation, the last pro team to do so.",
1952,"The Detroit Lions won their first NFL championship in 17 years, defeating the Browns 17-7 in the title game, December 28.",
1953,"A Baltimore group headed by Carroll Rosenbloom was granted a franchise and was awarded the holdings of the defunct Dallas organization, January 23. The team, named the Colts, put together the largest trade in league history, acquiring 10 players from Cleveland in exchange for five.",
1953,"The names of the American and National conferences were changed to the Eastern and Western conferences, January 24.",
1953,"Jim Thorpe died, March 28.",
1953,"Mickey McBride, founder of the Cleveland Browns, sold the franchise to a syndicate headed by Dave R. Jones, June 10.",
1953,"The NFL policy of blacking out home games was upheld by Judge Allan K. Grim of the U.S. District Court in Philadelphia, November 12. The Lions again defeated the Browns in the NFL Championship Game, winning 17-16, December 27.",
1954,"The Canadian Football League began a series of raids on NFL teams, signing quarterback Eddie LeBaron and defensive end Gene Brito of Washington and defensive tackle Arnie Weinmeister of the Giants, among others.",
1954,"Fullback Joe Perry of the 49ers became the first player in league history to gain 1,000 yards rushing in consecutive seasons.",
1954,"Cleveland defeated Detroit 56-10 in the NFL Championship Game, December 26.",
1955,"The sudden-death overtime rule was used for the first time in a pre- season game between the Rams and Giants at Portland, Oregon, August 28. The Rams won 23-17 three minutes into overtime.",
1955,A rule change declared the ball dead immediately if the ball carrier touched the ground with any part of his body except his hands or feet while in the grasp of an opponent.,
1955,"The Baltimore Colts made an 80-cent phone call to Johnny Unitas and signed him as a free agent. Another quarterback, Otto Graham, played his last game as the Browns defeated the Rams 38-14 in the NFL Championship Game, December 26. Graham had quarterbacked the Browns to 10 championship-game appearances in 10 years.",
1955,"NBC replaced DuMont as the network for the title game, paying a rights fee of $100,000.",
1956,The NFL Players Association was founded.,
1956,Grabbing an opponent's facemask (other than the ball carrier) was made illegal. Using radio receivers to communicate with players on the field was prohibited. A natural leather ball with white end stripes replaced the white ball with black stripes for night games.,
